,fromTimestamp,toTimestamp,value
0,2020-01-01 00:00:00+00:00,2020-01-08 00:00:00+00:00,25.0
1,2020-01-08 00:00:00+00:00,2020-01-15 00:00:00+00:00,41.0
2,2020-01-15 00:00:00+00:00,2020-01-22 00:00:00+00:00,24.0
3,2020-01-22 00:00:00+00:00,2020-01-29 00:00:00+00:00,80.0
4,2020-02-01 00:00:00+00:00,2020-02-08 00:00:00+00:00,45.0
5,2020-02-08 00:00:00+00:00,2020-02-15 00:00:00+00:00,101.0
6,2020-02-15 00:00:00+00:00,2020-02-22 00:00:00+00:00,31.0
7,2020-03-01 00:00:00+00:00,2020-03-08 00:00:00+00:00,186.0
8,2020-03-08 00:00:00+00:00,2020-03-15 00:00:00+00:00,37.0
9,2020-03-15 00:00:00+00:00,2020-03-22 00:00:00+00:00,16.0
10,2020-03-22 00:00:00+00:00,2020-03-29 00:00:00+00:00,77.0
11,2020-04-01 00:00:00+00:00,2020-04-08 00:00:00+00:00,304.0
12,2020-04-08 00:00:00+00:00,2020-04-15 00:00:00+00:00,160.0
13,2020-04-15 00:00:00+00:00,2020-04-22 00:00:00+00:00,35.0
14,2020-04-22 00:00:00+00:00,2020-04-29 00:00:00+00:00,45.0
15,2020-05-01 00:00:00+00:00,2020-05-08 00:00:00+00:00,71.0
16,2020-05-08 00:00:00+00:00,2020-05-15 00:00:00+00:00,44.0
17,2020-05-15 00:00:00+00:00,2020-05-22 00:00:00+00:00,22.0
18,2020-05-22 00:00:00+00:00,2020-05-29 00:00:00+00:00,29.0
19,2020-06-01 00:00:00+00:00,2020-06-08 00:00:00+00:00,85.0
20,2020-06-08 00:00:00+00:00,2020-06-15 00:00:00+00:00,31.0
21,2020-06-15 00:00:00+00:00,2020-06-22 00:00:00+00:00,112.0
22,2020-06-22 00:00:00+00:00,2020-06-29 00:00:00+00:00,35.0
23,2020-07-01 00:00:00+00:00,2020-07-08 00:00:00+00:00,7.0
24,2020-07-08 00:00:00+00:00,2020-07-15 00:00:00+00:00,29.0
25,2020-07-15 00:00:00+00:00,2020-07-22 00:00:00+00:00,45.0
26,2020-07-22 00:00:00+00:00,2020-07-29 00:00:00+00:00,35.0
27,2020-08-01 00:00:00+00:00,2020-08-08 00:00:00+00:00,41.0
28,2020-08-08 00:00:00+00:00,2020-08-15 00:00:00+00:00,46.0
29,2020-08-15 00:00:00+00:00,2020-08-22 00:00:00+00:00,37.0
30,2020-08-22 00:00:00+00:00,2020-08-29 00:00:00+00:00,252.0
31,2020-09-01 00:00:00+00:00,2020-09-08 00:00:00+00:00,18.0
32,2020-09-08 00:00:00+00:00,2020-09-15 00:00:00+00:00,26.0
33,2020-09-15 00:00:00+00:00,2020-09-22 00:00:00+00:00,103.0
34,2020-09-22 00:00:00+00:00,2020-09-29 00:00:00+00:00,30.0
35,2020-10-01 00:00:00+00:00,2020-10-08 00:00:00+00:00,24.0
36,2020-10-08 00:00:00+00:00,2020-10-15 00:00:00+00:00,70.0
37,2020-10-15 00:00:00+00:00,2020-10-22 00:00:00+00:00,69.0
38,2020-10-22 00:00:00+00:00,2020-10-29 00:00:00+00:00,48.0
