timestamp,delivery,opening_hours,description,takeway,access
2020-01-01,0,0,0,0,0
2020-01-08,0,0,0,0,0
2020-01-15,0,0,0,0,0
2020-01-22,0,0,0,0,0
2020-01-29,0,0,0,0,0
2020-02-05,0,0,0,0,0
2020-02-12,0,0,0,0,0
2020-02-19,0,0,0,0,0
2020-02-26,0,0,0,0,0
2020-03-04,0,0,0,0,0
2020-03-11,0,0,0,0,0
2020-03-18,0,0,0,0,0
2020-03-25,0,0,0,0,0
2020-04-01,154,1,0,0,0
2020-04-08,468,70,8,0,0
2020-04-15,693,303,9,1,0
2020-04-22,958,336,11,3,0
2020-04-29,1241,404,40,7,1
2020-05-06,1527,475,49,21,1
2020-05-13,1904,746,54,187,27
2020-05-20,2031,794,62,210,34
2020-05-27,2075,826,65,220,49
2020-06-03,2097,878,70,229,52
2020-06-10,2144,906,74,236,58
2020-06-17,2156,949,77,236,58
2020-06-24,2156,974,77,237,58
2020-07-01,2156,1007,79,237,58
2020-07-08,2156,1027,79,237,58
2020-07-15,2157,1046,79,237,58
2020-07-22,2157,1063,79,237,58
2020-07-29,2156,1088,79,237,58
2020-08-05,2158,1102,81,239,58
2020-08-12,2161,1114,82,241,58
2020-08-19,2163,1124,82,241,58
2020-08-26,2166,1136,82,242,58
2020-09-02,2168,1165,83,243,58
2020-09-09,2168,1175,83,242,58
2020-09-16,2168,1206,84,243,60
2020-09-23,2169,1220,84,245,62
2020-09-30,2169,1228,84,245,63
2020-10-07,2169,1241,82,245,63
2020-10-14,2176,1248,85,248,63
2020-10-21,2175,1267,85,248,63
2020-10-28,2179,1287,87,251,64
2020-11-04,2191,1306,101,253,64
2020-11-11,2182,1362,102,276,64
2020-11-18,2182,1405,107,277,65
2020-11-25,2182,1415,107,278,65
2020-12-02,2183,1446,107,279,65
2020-12-09,2183,1460,107,279,66
2020-12-16,2183,1474,107,279,66
2020-12-23,2182,1491,107,279,66
2020-12-30,2182,1517,107,279,66
